RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS
238,JBG Smith,Bethesda,MD,Real Estate & Housing,18,78.33,90.66,66.72,77.69
239,HubSpot,Cambridge,MA,Software,11,78.32,85.47,64.23,85.35
240,Vontier,Raleigh,NC,Capital Goods,25,78.28,72.59,81.34,80.99
241,Bank of New York Mellon,New York City,NY,Financial,26,78.24,85.83,76.12,72.85
242,Greif,Delaware,OH,Materials & Chemicals,20,78.21,76.54,63.53,94.62
243,ONEOK,Tulsa,OK,Energy & Utilities,18,78.19,71.25,86.28,77.1
244,Kennametal,Pittsburgh,PA,Capital Goods,26,78.18,84.29,62.24,88.08
245,Fortive,Everett,WA,Capital Goods,27,78.14,80.52,62.43,91.56
246,Sunstone Hotel Investors,Irvine,CA,Real Estate & Housing,19,78.08,89.49,77.06,67.77
247,Pebblebrook Hotel Trust,Bethesda,MD,"Hotels, Dining & Leisure",4,78.07,87.54,68.9,77.87
248,Vital Energy,Tulsa,OK,Energy & Utilities,19,77.99,74.62,77.46,81.97
249,Foot Locker,New York City,NY,Retail & Consumer Goods,40,77.89,81.35,75.51,76.88
250,USANA Health Sciences,West Valley City,UT,Retail & Consumer Goods,41,77.88,70.47,80.71,82.52
251,Union Pacific,Omaha,NE,Transport & Logistics,3,77.79,71.61,90.16,71.66
252,Spire,St. Louis,MO,Energy & Utilities,20,77.77,76.51,78.22,78.65
253,IPG Photonics,New York City,NY,Capital Goods,28,77.67,81.52,61.79,89.77
254,Caesars Entertainment,Reno,NV,"Hotels, Dining & Leisure",5,77.63,84.55,76.62,71.82
255,Masco,Livonia,MI,Capital Goods,29,77.58,81.95,74.24,76.63
256,Charles River Laboratories,Wilmington,MA,"Health Care, Life Sciences & Pharmaceuticals",18,77.47,78.94,79.17,74.39
257,GE HealthCare Technologies,Chicago,IL,"Health Care, Life Sciences & Pharmaceuticals",19,77.44,81.69,71.1,79.63
258,Fortinet,Sunnyvale,CA,Technology,39,77.44,84.85,51.38,96.18
259,Murphy Oil,Houston,TX,Energy & Utilities,21,77.4,78.42,72.01,81.86
260,Zillow,Seattle,WA,Real Estate & Housing,20,77.4,82.74,75.91,73.63
261,Ryman Hospitality Properties,Nashville,TN,Real Estate & Housing,21,77.4,85.62,77.58,69.08
262,Park Hotels & Resorts,Tysons,VA,Real Estate & Housing,22,77.36,86.18,61.8,84.17
263,Ventas,Chicago,IL,Real Estate & Housing,23,77.34,85.2,71.15,75.75
264,Realty Income,San Diego,CA,Real Estate & Housing,24,77.26,75.93,80.24,75.7
265,Coty,New York City,NY,Retail & Consumer Goods,42,77.26,85.05,73.01,73.81
266,Conagra Brands,Chicago,IL,Retail & Consumer Goods,43,77.26,79.26,83.25,69.34
267,Yum! Brands,Louisville,KY,"Hotels, Dining & Leisure",6,77.22,78.01,75.82,77.91
268,Burlington,Burlington,NJ,Retail & Consumer Goods,44,77.2,83.24,69.8,78.64
269,Synopsys,Mountain View,CA,Software,12,77.19,73.11,69.78,88.76
270,Edwards Lifesciences,Irvine,CA,"Health Care, Life Sciences & Pharmaceuticals",20,77.18,94.11,55.22,82.3
271,Lumen,Monroe,LA,Media & Telecommunications,10,77.18,86.13,72.46,73.02
272,Kimball Electronics,Jasper,IN,Capital Goods,30,77.17,86.39,58.38,86.83
273,Lincoln Financial,Radnor,PA,Financial,27,77.12,84.93,82.72,63.8
274,Ziff Davis,New York City,NY,Media & Telecommunications,11,77.09,73.35,81.47,76.53
275,Vornado Realty Trust,New York City,NY,Real Estate & Housing,25,77.05,86.01,62.28,82.95
276,AAON,Tulsa,OK,Capital Goods,31,76.91,80.92,66.5,83.4
277,Tractor Supply Co.,Brentwood,TN,Retail & Consumer Goods,45,76.87,76.83,78.14,75.7
278,Levi Strauss & Co,San Francisco,CA,Retail & Consumer Goods,46,76.82,86.38,64.41,79.76
279,ABM Industries,New York City,NY,Professional Services,12,76.73,70.52,72.48,87.27
280,Assurant,New York City,NY,Financial,28,76.73,71.05,86.67,72.54
281,The Greenbrier Companies,Lake Oswego,OR,Transport & Logistics,4,76.71,82.47,72.77,74.97
282,Avis Budget Group,Parsippany,NJ,Professional Services,13,76.71,68.91,70.65,90.63
283,Alexandria Real Estate Equities,Pasadena,CA,Real Estate & Housing,26,76.66,86.02,70.33,73.72
284,KeyCorp,Cleveland,OH,Financial,29,76.65,77.25,87.85,64.94
285,Cooper-Standard Holdings,Northville,MI,Automotive & Components,7,76.65,80.21,72.51,77.31
286,VF Corporation,Denver,CO,Retail & Consumer Goods,47,76.62,89.11,67.7,73.14
287,Chart Industries,Ball Ground,GA,Capital Goods,32,76.61,78.46,71.73,79.72
288,Williams Companies,Tulsa,OK,Energy & Utilities,22,76.61,70.39,81.17,78.33
289,Advanced Drainage Systems,Hilliard,OH,Materials & Chemicals,21,76.51,83.24,65.43,80.95
290,Honeywell,Charlotte,NC,Capital Goods,33,76.41,80.93,76.21,72.16
291,Franklin Electric,Fort Wayne,IN,Capital Goods,34,76.38,82.26,69.25,77.71
292,CommScope,Hickory,NC,Technology,40,76.37,88.7,66.52,73.97
293,Oshkosh,Oshkosh,WI,Automotive & Components,8,76.35,81.94,72.84,74.36
294,Monolithic Power Systems,Kirkland,WA,Technology,41,76.35,85.36,76.44,67.32
